id,date,label,text
1084065832941031424,2019-01-12 20:33,other,....the FBI was in complete turmoil (see N.Y. Post) because of Comey’s poor leadership and the way he handled the Clinton mess (not to mention his usurpation of powers from the Justice Department). My firing of James Comey was a great day for America. He was a Crooked Cop......
1183369132634456066,2019-10-13 21:09,other,"Do you remember two years ago when Iraq was going to fight the Kurds in a different part of Syria. Many people wanted us to fight with the Kurds against Iraq, who we just fought for. I said no, and the Kurds left the fight, twice. Now the same thing is happening with Turkey......"
1097856727020720128,2019-02-19 21:53,immigration,"The failed Fast Train project in California, where the cost overruns are becoming world record setting, is hundreds of times more expensive than the desperately needed Wall!"
1149289425836367872,2019-07-11 20:08,immigration,"Democrats had to quickly take down a tweet called “Kids In Cages, Inhumane Treatment at the Border,” because the horrible picture used was from the Obama years. Very embarrassing! @foxandfriends"
1184426268177129472,2019-10-16 19:10,other,You would think there is NO WAY that any of the Democrat Candidates that we witnessed last night could possibly become President of the United States. Now you see why they have no choice but to push a totally illegal & absurd Impeachment of one of the most successful Presidents!
1100782208518946817,2019-02-27 23:38,other,"Great meeting and dinner with Kim Jong Un in Hanoi, Vietnam tonight. Looking forward to continuing our discussions tomorrow! #HanoiSummit https://t.co/J3x6lUGzjS"
1090947003868213248,2019-01-31 20:16,immigration,Lets just call them WALLS from now on and stop playing political games! A WALL is a WALL!
1162726857231544320,2019-08-17 22:04,other,Major consideration is being given to naming ANTIFA an “ORGANIZATION OF TERROR.” Portland is being watched very closely. Hopefully the Mayor will be able to properly do his job!
1088470495312400384,2019-01-25 00:16,immigration,"Nancy just said she “just doesn’t understand why?” Very simply, without a Wall it all doesn’t work. Our Country has a chance to greatly reduce Crime, Human Trafficking, Gangs and Drugs. Should have been done for decades. We will not Cave!"
1142410006513500161,2019-06-22 20:32,immigration,"When people come into our Country illegally, they will be DEPORTED!"
1121021160827887616,2019-04-24 20:00,immigration,"Mexico’s Soldiers recently pulled guns on our National Guard Soldiers, probably as a diversionary tactic for drug smugglers on the Border. Better not happen again! We are now sending ARMED SOLDIERS to the Border. Mexico is not doing nearly enough in apprehending & returning!"
1144033134129758208,2019-06-27 08:02,immigration,These flyers depict Australia’s policy on Illegal Immigration. Much can be learned! https://t.co/QgGU0gyjRS
1125774545988857856,2019-05-07 22:49,immigration,"Democrats in Congress must vote to close the terrible loopholes at the Southern Border. If not, harsh measures will have to be taken!"
1112089959593328641,2019-03-31 04:31,immigration,"It would be so easy to fix our weak and very stupid Democrat inspired immigration laws. In less than one hour, and then a vote, the problem would be solved. But the Dems don’t care about the crime, they don’t want any victory for Trump and the Republicans, even if good for USA!"
1174006577713434624,2019-09-17 12:05,other,"Just departed New Mexico for California, where we are delivering results!pic.twitter.com/EKWzgjTXyd"
1121187494312255489,2019-04-25 07:01,other,"The Great State of Tennessee is so close to passing School Choice. All of our Nation’s children, regardless of background, deserve a shot at achieving the American Dream! Time to get this done, so important!"
1190373504442654730,2019-11-02 05:02,other,"....our great police are being disrespected, even with water dumped on them, because a Mayor and Governor just don’t “have their backs.” New York’s Finest must be cherished, respected and loved. Too many prople are leaving our special New York. Great leaders would work...."
1128726868738310149,2019-05-16 02:20,other,"The courage & sacrifice of our heroes is the reason our flag stands tall, our hearts beat with pride, and our Country remains one people, one family, and one NATION UNDER GOD. Today, we thank you, we honor you, & we forever cherish the memory of our Fallen Men and Women in Blue! https://t.co/ARHYgDVi3M"
1088832908494888961,2019-01-26 00:16,other,"Greatest Witch Hunt in the History of our Country! NO COLLUSION! Border Coyotes, Drug Dealers and Human Traffickers are treated better. Who alerted CNN to be there?"
1086586403583074304,2019-01-19 19:29,other,Will be leaving for Dover to be with the families of 4 very special people who lost their lives in service to our Country!
1171986297696772096,2019-09-11 22:18,immigration,The Wall is being built after victories against the Democrats in various courts!https://twitter.com/realDonaldTrump/status/1171547046295171072 …
1125051346456121346,2019-05-05 22:55,immigration,"I am pleased to inform all of those that believe in a strong, fair and sound Immigration Policy that Mark Morgan will be joining the Trump Administration as the head of our hard working men and women of ICE. Mark is a true believer and American Patriot. He will do a great job!"
1151953616510574607,2019-07-19 04:35,other,"Today, on behalf of the American people, I received an American flag that flew aboard a ship carrying the first waves of U.S. Service Members to land in Normandy...https://t.co/f1fLTAj0We"
1197131856963129344,2019-11-20 20:37,other,“White House Confidence Grows As Hearings Wear On.” @WashTimes  This is just an attempted takedown of the Republican Party by the Do Nothing Democrats. It will never work. #2020
1180886039801602048,2019-10-06 11:42,other,"The Biden family was PAID OFF, pure and simple! The fake news must stop making excuses for something that is totally inexcusable. Sleepy Joe said he never spoke to the Ukrainian company, and then the picture came out where he was playing golf with the company boss and Hunter....."
1150766497469489152,2019-07-15 21:58,immigration,"....What does it mean for America to have free Healthcare for Illegal Immigrants, no criminalization of coming into our Country - See how that works for controlling Immigration! They talk about Israel like they’re a bunch of thugs, not victims of the entire region. They wanted..."
1184129465070297090,2019-10-15 23:30,other,"Governor @MattBevin has done a wonderful job for the people of Kentucky! He continues to protect your very important Second Amendment. Matt is Strong on Crime and the Border, he Loves our Great Vets and Military. Matt has my Complete and Total Endorsement, and always has!"
1205179262535393280,2019-12-13 01:35,other,“I think it’s obvious to all the American public that this is a railroad job!” @JimPressOffice https://t.co/MlYNny1pqg
1153443827946020864,2019-07-23 07:16,immigration,"When we rip down and totally replace a badly broken and dilapidated Barrier on the Southern Border, something which cannot do the job, the Fake News Media gives us zero credit for building a new Wall. We have replaced many miles of old Barrier with powerful new Walls!"
1137313896585474048,2019-06-08 19:02,other,"Mexico will try very hard, and if they do that, this will be a very successful agreement for both the United States and Mexico!"
1163446760406171649,2019-08-19 21:44,immigration,"Democrats want Open Borders and Crime! So dangerous for our Country. But we are building a big, beautiful, NEW Wall! I will protect America, the Dems don’t know where to start! https://t.co/D0APaAxvVm"
1205992385215229953,2019-12-14 17:26,other,"The last time I spoke to Debbie Dingell was her call thanking me for granting top memorial and funeral service honors for her then just departed husband, long time Congressman John Dingell. Now I watch her ripping me as part of the Democrats Impeachment Hoax. Really pathetic!"
1190756985433657344,2019-11-03 06:26,other,Didn’t he pick the Whistleblower? https://t.co/yalRJr8DgA
1171595113673347072,2019-09-11 09:23,other,"Senator Ben Sasse has done a wonderful job representing the people of Nebraska. He is great with our Vets, the Military, and your very important Second Amendment. Strong on Crime and the Border, Ben has my Complete and Total Endorsement!"
